,0,1
0,0.1928206943846255,#_of_Previous_Cesareans
1,0.1922192512813523,Previous_Cesarian_Y
2,0.16928765013543248,Previous_Cesarian_N
3,0.12339485383592823,Medical_Attendant
4,0.10262314161766338,NO_RISK
5,0.09168414224614986,Prior_Births_Living
6,0.02850459346530716,BMI
7,0.024770575434807443,Induction_of_labor_Y
8,0.017801986537253622,Age_of_Mother
9,0.017711794800395503,Induction_of_labor_N
10,0.017649717968350534,Pre_Pregnancy_Weight
11,0.009097820887305841,Weight_Gain
12,0.006215278652197326,Mothers_Height_in_Inches
13,0.001789761540426936,Prior_Terminations
14,0.0014587120364591406,Marital_Status_ 
15,0.0012624044830772307,NO_MORBIDITY
16,0.0011698793394843417,Cigarette_Consumption
17,0.0005377413537832268,Prior_Births_Dead
