,0,1
0,0.2572425912414723,Previous_Cesarian_Y
1,0.2011340389394508,#_of_Previous_Cesareans
2,0.2008492174737203,Previous_Cesarian_N
3,0.09208994703712688,NO_RISK
4,0.08028878521701618,Medical_Attendant
5,0.061997289916349174,Prior_Births_Living
6,0.023745525487511323,Induction_of_labor_Y
7,0.022215594688932847,Induction_of_labor_N
8,0.019269413299495292,BMI
9,0.011613315914536487,Age_of_Mother
10,0.01099900030631398,Pre_Pregnancy_Weight
11,0.00761850176023611,Weight_Gain
12,0.004732654081922052,Mothers_Height_in_Inches
13,0.0012842561699341714,Prior_Terminations
14,0.0010305693388557766,NO_MORBIDITY
15,0.0007529532246090208,Marital_Status_1
16,0.0006963279912035843,Cigarette_Consumption
17,0.0005267929006647992,Marital_Status_2
18,0.0005016271373901506,Marital_Status_ 
19,0.000472495420508709,Previous_Cesarian_U
20,0.00032699387187089626,Prior_Births_Dead
21,0.00026995827966692324,NO_INFEC
22,0.00011969480453733292,Induction_of_labor_U
23,0.00011285235188462426,Marital_Status_1
24,0.00010960314479037767,Marital_Status_2
